07535;220;1.0;44.745,1.396667
07222;270;10.3;47.15,-1.608833
07255;250;9.8;47.059167,2.359833
07335;250;8.7;46.593833,0.314333
07627;160;2.1;43.005333,1.106833
07020;270;19.5;49.725167,-1.939833
07790;220;6.2;42.540667,9.485167
07130;270;7.7;48.068833,-1.734
07027;270;15.4;49.18,-0.456167
07117;270;13.4;48.825833,-3.473167
07149;280;11.8;48.716833,2.384333
07299;250;17.0;47.614333,7.51
07790;60;1.0;42.540667,9.485167
07027;290;13.9;49.18,-0.456167
07460;280;9.3;45.786833,3.149333
07577;20;1.5;44.581167,4.733
07149;320;9.8;48.716833,2.384333
07481;290;7.2;45.7265,5.077833
07747;300;17.5;42.737167,2.872833
07761;270;9.3;41.918,8.792667
07643;330;11.3;43.577,3.963167
07761;310;12.3;41.918,8.792667
07621;290;3.6;43.188,0.0
07690;310;9.3;43.648833,7.209
07222;320;2.6;47.15,-1.608833
07607;290;1.5;43.909833,-0.500167
07240;300;4.1;47.4445,0.727333
07607;350;2.6;43.909833,-0.500167
07168;240;3.6;48.324667,4.02
07240;240;2.1;47.4445,0.727333
07005;210;4.1;50.136,1.834
07149;0;0.0;48.716833,2.384333
07314;240;1.5;46.046833,-1.4115
07591;230;1.0;44.565667,6.502333
07027;240;5.7;49.18,-0.456167
07149;220;3.1;48.716833,2.384333
07335;190;2.6;46.593833,0.314333
07661;280;6.2;43.079333,5.940833
07255;270;4.1;47.059167,2.359833
07222;280;4.1;47.15,-1.608833
07299;260;4.6;47.614333,7.51
07149;290;3.6;48.716833,2.384333
07314;310;3.6;46.046833,-1.4115
07661;270;12.3;43.079333,5.940833
07661;270;11.3;43.079333,5.940833
07110;340;1.5;48.444167,-4.412
07471;300;4.1;45.0745,3.764
07015;310;5.1;50.57,3.0975
07005;290;4.6;50.136,1.834
07139;270;1.5;48.4455,0.110167
07643;340;1.0;43.577,3.963167
07149;250;2.1;48.716833,2.384333
07621;40;1.5;43.188,0.0
07190;200;1.5;48.5495,7.640333
07607;70;2.1;43.909833,-0.500167
07661;50;2.1;43.079333,5.940833
07690;250;1.5;43.648833,7.209
07027;230;4.1;49.18,-0.456167
07168;250;4.6;48.324667,4.02
07149;250;2.6;48.716833,2.384333
07558;10;10.3;44.1185,3.0195
07747;320;6.7;42.737167,2.872833
07790;220;6.2;42.540667,9.485167
07591;50;1.5;44.565667,6.502333
07460;0;0.0;45.786833,3.149333
07471;0;0.0;45.0745,3.764
07314;70;2.6;46.046833,-1.4115
07460;30;2.1;45.786833,3.149333
07621;10;1.0;43.188,0.0
07650;180;1.0;43.437667,5.216
07207;60;3.1;47.294333,-3.218333
07280;30;4.6;47.267833,5.088333
07650;310;2.6;43.437667,5.216
07761;40;3.1;41.918,8.792667
07139;350;1.0;48.4455,0.110167
07280;30;3.6;47.267833,5.088333
07110;350;0.5;48.444167,-4.412
07117;250;1.0;48.825833,-3.473167
07558;30;4.1;44.1185,3.0195
07661;50;6.2;43.079333,5.940833
07130;80;1.0;48.068833,-1.734
07168;190;1.5;48.324667,4.02
07510;350;1.0;44.830667,-0.691333
07630;10;1.0;43.621,1.378833
07460;140;0.5;45.786833,3.149333
07037;220;3.6;49.383,1.181667
07168;0;0.0;48.324667,4.02
07621;170;3.1;43.188,0.0
07510;0;0.0;44.830667,-0.691333
07117;270;5.1;48.825833,-3.473167
07607;300;1.0;43.909833,-0.500167
07630;300;1.0;43.621,1.378833
07761;50;1.5;41.918,8.792667
07130;270;1.5;48.068833,-1.734
07149;250;3.1;48.716833,2.384333
07481;360;4.1;45.7265,5.077833
07643;330;1.5;43.577,3.963167
07627;0;0.0;43.005333,1.106833
07190;160;3.1;48.5495,7.640333
07020;240;10.8;49.725167,-1.939833
07255;230;4.6;47.059167,2.359833
07314;220;8.2;46.046833,-1.4115
07510;200;3.6;44.830667,-0.691333
07591;70;1.0;44.565667,6.502333
07627;150;1.0;43.005333,1.106833
07471;230;3.1;45.0745,3.764
07621;90;1.5;43.188,0.0
07005;240;7.7;50.136,1.834
07280;200;4.6;47.267833,5.088333
07747;250;2.1;42.737167,2.872833
07168;200;8.7;48.324667,4.02
07471;150;1.0;45.0745,3.764
07434;200;5.7;45.861167,1.175
07280;180;4.6;47.267833,5.088333
07280;260;3.1;47.267833,5.088333
07643;270;6.7;43.577,3.963167
07481;110;1.5;45.7265,5.077833
07255;200;5.1;47.059167,2.359833
07535;180;2.1;44.745,1.396667
07130;210;8.2;48.068833,-1.734
07037;220;13.4;49.383,1.181667
07471;230;2.1;45.0745,3.764
07621;180;4.6;43.188,0.0
07314;320;6.7;46.046833,-1.4115
07558;280;6.7;44.1185,3.0195
07577;280;0.5;44.581167,4.733
07761;50;3.1;41.918,8.792667
07510;60;2.1;44.830667,-0.691333
07222;40;2.6;47.15,-1.608833
07627;330;2.1;43.005333,1.106833
07577;20;9.8;44.581167,4.733
07149;40;3.6;48.716833,2.384333
07471;360;3.6;45.0745,3.764
07005;0;0.0;50.136,1.834
07139;30;1.5;48.4455,0.110167
07591;0;0.0;44.565667,6.502333
07434;60;5.1;45.861167,1.175
07471;240;1.5;45.0745,3.764
07434;60;6.7;45.861167,1.175
07240;60;5.1;47.4445,0.727333
07255;80;4.1;47.059167,2.359833
07481;140;3.1;45.7265,5.077833
07110;130;6.2;48.444167,-4.412
07027;100;2.6;49.18,-0.456167
07621;190;0.5;43.188,0.0
07335;80;1.5;46.593833,0.314333
07299;330;2.6;47.614333,7.51
07577;40;5.1;44.581167,4.733
07314;90;3.1;46.046833,-1.4115
07627;180;1.5;43.005333,1.106833
07335;70;1.5;46.593833,0.314333
07621;180;3.6;43.188,0.0
07037;80;4.6;49.383,1.181667
07535;110;2.1;44.745,1.396667
07661;50;5.7;43.079333,5.940833
07299;350;1.5;47.614333,7.51
07005;80;4.6;50.136,1.834
07168;80;4.1;48.324667,4.02
07117;100;3.6;48.825833,-3.473167
07222;70;4.6;47.15,-1.608833
07471;0;0.0;45.0745,3.764
07643;10;4.6;43.577,3.963167
07027;150;1.0;49.18,-0.456167
07149;90;0.5;48.716833,2.384333
07434;70;1.5;45.861167,1.175
07558;360;1.0;44.1185,3.0195
07335;140;0.5;46.593833,0.314333
07471;250;1.5;45.0745,3.764
07627;190;1.0;43.005333,1.106833
07037;160;2.6;49.383,1.181667
